"","County","Date","Year","taxon_name","mass","sex","tail","wing.chord","anterior.culmen","posterior.culmen","tarsus","Age","mean_trachea_length","trachea.diameter","sample_year","data.origin","NK"
"87","2",0086-10-19,1986,"Antigone canadensis tabida",NA,"F",NA,532,NA,92,227,"ADULT",NA,NA,86,"NMDGF",NA
"88","2",0086-10-19,1986,"Antigone canadensis tabida",NA,"F",NA,525,NA,89,217,"ADULT",NA,NA,86,"NMDGF",NA
"89","2",0086-10-19,1986,"Antigone canadensis tabida",NA,"F",NA,530,NA,100,226,"ADULT",NA,NA,86,"NMDGF",NA
"90","2",0086-10-19,1986,"Antigone canadensis tabida",NA,"M",NA,565,NA,112,242,"ADULT",NA,NA,86,"NMDGF",NA
"91","2",0086-10-19,1986,"Antigone canadensis tabida",NA,"F",NA,533,NA,86,234,"ADULT",NA,NA,86,"NMDGF",NA
"92","2",0086-10-19,1986,"Antigone canadensis tabida",NA,"M",NA,545,NA,93,227,"ADULT",NA,NA,86,"NMDGF",NA
"93","2",0086-10-19,1986,"Antigone canadensis tabida",NA,"M",NA,555,NA,95,239,"ADULT",NA,NA,86,"NMDGF",NA
"94","2",0086-10-19,1986,"Antigone canadensis tabida",NA,"M",NA,545,NA,96,247,"ADULT",NA,NA,86,"NMDGF",NA
"95","2",0086-10-22,1986,"Antigone canadensis tabida",NA,"F",NA,536,NA,95,225,"ADULT",NA,NA,86,"NMDGF",NA
"96","2",0086-10-24,1986,"Antigone canadensis tabida",NA,"M",NA,557,NA,113,237,"ADULT",NA,NA,86,"NMDGF",NA
"97","2",0086-10-24,1986,"Antigone canadensis tabida",NA,"F",NA,526,NA,94,235,"ADULT",NA,NA,86,"NMDGF",NA
"98","2",0086-10-24,1986,"Antigone canadensis tabida",NA,"F",NA,503,NA,91,244,"ADULT",NA,NA,86,"NMDGF",NA
"99","2",0086-10-24,1986,"Antigone canadensis tabida",NA,"M",NA,571,NA,102.5,264,"ADULT",NA,NA,86,"NMDGF",NA
"100","2",0086-10-24,1986,"Antigone canadensis tabida",NA,"F",NA,529,NA,97,238,"ADULT",NA,NA,86,"NMDGF",NA
"101","2",0086-10-24,1986,"Antigone canadensis tabida",NA,"M",NA,543,NA,91,247,"ADULT",NA,NA,86,"NMDGF",NA
"102","2",0086-10-24,1986,"Antigone canadensis tabida",NA,"M",NA,549,NA,105,244,"ADULT",NA,NA,86,"NMDGF",NA
"103","2",0086-10-24,1986,"Antigone canadensis tabida",NA,"F",NA,532,NA,99,225,"ADULT",NA,NA,86,"NMDGF",NA
"104","2",0086-10-24,1986,"Antigone canadensis tabida",NA,"M",NA,564,NA,102,251,"ADULT",NA,NA,86,"NMDGF",NA
